user.id,image,emotion
520,angry0001.jpg,anger
520,angry0002.jpg,anger
520,angry0003.jpg,anger
520,angry0004.jpg,anger
520,angry0005.jpg,sadness
520,BernieSanders00001.jpg,happiness
520,BernieSanders00002.jpg,happiness
520,BernieSanders00003.jpg,neutral
520,BernieSanders00004.jpg,happiness
520,BernieSanders00006.jpg,happiness
520,BernieSanders00007.jpg,anger
520,BernieSanders00008.jpg,neutral
520,BernieSanders00010.jpg,neutral
520,bush0001.jpg,happiness
520,bush0002.jpg,neutral
520,bush0003.jpg,neutral
520,bush0004.jpg,happiness
520,bush0005.jpg,neutral
520,bush0006.jpg,neutral
520,bush0007.jpg,surprise
520,bush0008.jpg,neutral
520,bush0009.jpg,neutral
520,bush0010.jpg,neutral
520,clinton0001.jpg,happiness
520,clinton0002.jpg,happiness
520,clinton0003.jpg,happiness
520,clinton0004.jpg,happiness
520,clinton0005.jpg,neutral
520,clinton0006.jpg,neutral
520,clinton0007.jpg,neutral
520,clinton0008.jpg,happiness
520,clinton0009.jpg,happiness
520,clinton0010.jpg,surprise
520,clinton0011.jpg,happiness
520,clinton0012.jpg,happiness
520,clinton0013.jpg,neutral
520,clinton0014.jpg,neutral
520,clinton0015.jpg,happiness
520,clinton0016.jpg,neutral
520,clinton0017.jpg,surprise
520,clinton0018.jpg,fear
520,clinton0019.jpg,neutral
520,clinton0020.jpg,happiness
520,EnriquePenaNieto0001.jpg,neutral
520,EnriquePenaNieto0002.jpg,happiness
520,EnriquePenaNieto0003.jpg,happiness
520,EnriquePenaNieto0004.jpg,neutral
520,EnriquePenaNieto0005.jpg,neutral
520,EnriquePenaNieto0006.jpg,neutral
520,EnriquePenaNieto0007.jpg,neutral
520,EnriquePenaNieto0008.jpg,neutral
520,EnriquePenaNieto0009.jpg,neutral
520,EnriquePenaNieto0010.jpg,happiness
520,JustinTrudeau0001.jpg,happiness
520,JustinTrudeau0002.jpg,happiness
520,JustinTrudeau0003.jpg,neutral
520,JustinTrudeau0004.jpg,happiness
520,JustinTrudeau0005.jpg,neutral
520,JustinTrudeau0006.jpg,happiness
520,JustinTrudeau0007.jpg,neutral
520,JustinTrudeau0008.jpg,neutral
520,JustinTrudeau0009.jpg,happiness
520,JustinTrudeau0010.jpg,neutral
520,Obama0001.jpg,happiness
520,Obama0002.jpg,happiness
520,Obama0003.jpg,neutral
520,Obama0004.jpg,neutral
520,Obama0005.jpg,neutral
520,Obama0006.jpg,neutral
520,Obama0007.jpg,happiness
520,Obama0008.jpg,happiness
520,Obama0009.jpg,neutral
520,Obama0010.jpg,neutral
520,TedCruz0001.jpg,happiness
520,TedCruz0002.jpg,happiness
520,TedCruz0003.jpg,happiness
520,TedCruz0004.jpg,sadness
520,TedCruz0005.jpg,neutral
520,TedCruz0006.jpg,happiness
520,TedCruz0007.jpg,neutral
520,TedCruz0008.jpg,neutral
520,TedCruz0009.jpg,sadness
520,TedCruz0010.jpg,happiness
520,Trump0001.jpg,happiness
520,Trump0003.jpg,anger
520,Trump0004.jpg,sadness
520,Trump0005.jpg,neutral
520,Trump0006.jpg,neutral
520,Trump0007.jpg,neutral
520,Trump0008.jpg,neutral
520,Trump0010.jpg,happiness
520,Trump0011.jpg,neutral
520,Trump0012.jpg,anger
520,Trump0013.jpg,happiness
520,Trump0014.jpg,happiness
520,Trump0015.jpg,happiness
520,Trump0017.jpg,happiness
520,Trump0018.jpg,happiness
520,Trump0019.jpg,neutral
520,Trump0020.jpg,happiness
